,selected_text,text,sentiment
317,Definitely pinched a nerve.,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative
318,exhausting!,today is a busy day. exhausting!,negative
320,Sorry, Sorry to hear ur flight got cancelled  that blows!!!,negative
321,im sad it very hurts,ohh my tooth is hurts ohh  im sad it very hurts,negative
323,I`m broke, u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative
327,now a migraine.,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative
329,?sucks!?..,?sucks!?..,negative
334,I Miss Daddy and Mommy,I Miss Daddy and Mommy,negative
335,officially depressed,"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative
338,That sucks!,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative
339,bored,seriously bored without anyone to talk to... but not tired enough for sleep,negative
340,I am lost., I am lost. Please help me find a good home.,negative
342,bad,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative
348,Am hopeless at everything else, I only do computers. Am hopeless at everything else,negative
351,Sorry, Sorry RB is on PS3 for me,negative
353,stuck,I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative
354,dang,dang last url went down  ? http://blip.fm/~7aigm,negative
355,i missed all ur tweets," ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",negative
356,Damnit all. That sucks., Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative
358,this is sooo crazy,this is sooo crazy i have fever..,negative
359,some stupid ****,is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative
369,No fun, l`m on 3 days too matt. No fun this weekend.,negative
371,I feel your pain., I feel your pain. Mine is the same way,negative
373,Sadly, Sadly no. It didn`t come with one...,negative
376,aww I miss driving, aww I miss driving down elmwood,negative
381,that`s not good, I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,negative
390,sorry  friends, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative
393,"My sunburn is peeling,","My sunburn is peeling,",negative
396,I don`t have no one to cuddle with..,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative
397,hate,I hate the dentist,negative
398,.sorry," nothing aimed at you, just joining in...sorry",negative
399,dying,I`m taking a twitter break. Cell is dying,negative
403,stupid job,I wish I could get my nails done  stupid job,negative
408,Dosen`t Want To,Dosen`t Want To Go To Work Tomorrow,negative
415,passed away,My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,negative
425,s I just don`t entertain him :/," Si, no bueno  I guess I just don`t entertain him :/",negative
426,kill me,I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative
427,both electronic keys stopped working. there is no keyhole!,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,negative
429,poor tony,'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,negative
431,I don`t really feel like,Took a shift tomorrow.    I don`t really feel like working right now.,negative
435,No waterfront anymore,No waterfront anymore   faccia luna and clarendon will have to do,negative
437,feeling like poop!,Slipped up and caught the flu  feeling like poop!,negative
439,then you cry ...,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,negative
448,I don`t want to sit at home,I don`t want to sit at home on prom night. Someone hang out with me,negative
452,dammit, lol dammit  well then next time then,negative
454,Still jealous, Still jealous,negative
455,Me at Forever 21  Ethan couldn`t be there,http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,negative
456,SAD,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,negative
457,not easy!,this week of mine was not easy!  but finally it`s over! (:,negative
465,Bouncing Rush makes me feel nauseous,Bouncing Rush makes me feel nauseous,negative
467,playing singstar without my fave duetter,playing singstar without my fave duetter,negative
469,That`s just weird... :\," That`s just weird... :\  Oh, and what was it you were drawing for me?",negative
471,That`s NOT cool,"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",negative
473,"lacking,","My Street Fighter IV skills are lacking, can`t beat Seth on easy.",negative
477,swollen.,my son got stung by a bug for the first time  his little finger is slightly swollen.,negative
480,Don`t act like u don`t know.,Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,negative
482,! I`m scared of him,Here`s a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I`m scared of him,negative
483,missing,I`m missing crab legs and attending my going away instead!,negative
484,mean!,Hicks are mean!,negative
485,"not doing so good,","gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad",negative
488,Missing,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",negative
490,stuck," And most of us are going to be stuck in an office, some without windows",negative
491,sad., No it`s not sad. Should make you proud,negative
492,Sorr,"   Sorry, we`ll try to keep it down.",negative
494,live in poverty.,"According to , a quarter of families under six live in poverty.",negative
495,not going well,the plan to not spend money is not going well,negative
498,I miss it there," actually, I wish I was back in Tahoe.  I miss it there.",negative
500,wack., but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,negative
504,d there wasn`t a chance, but it all went too quick and there wasn`t a chance lol,negative
505,Hates,Hates headaches! Maybe I`m not ready to rock,negative
511,traumatizing, traumatizing moment of my childhood. my dogs massacred baby bunnies and my brother and i got out the bb gun...,negative
513,fail)," 'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people http://tr.im/kWUA",negative
516,im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!, im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,negative
517,. Tomorrow will be tough!, He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!,negative
518,miss,I miss her alot and its only been one day,negative
527,i am living in ignorance,i am living in ignorance  :@,negative
529,AWWWW  we`re gonna miss you!, AWWWW  we`re gonna miss you!,negative
533,. Sorry, Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,negative
534,dammit,"sigh, my sisters bein strange.. she came all the way from copenhagen to london, and now her phones turned off.. i wanna see her dammit",negative
537,sick and sad ..,I`m sick and sad .... missing out on Martini Lounge tonight,negative
539,Really wishes he had some spare cash to buy the new Punch Out for Wii,Really wishes he had some spare cash to buy the new Punch Out for Wii,negative
540,not going,"Aw, not going to Toronto anymore.",negative
541,So sorry, So sorry to hear about your mom! that really sucks,negative
543,Can`t sleep..,Can`t sleep...so I`m watching HGTV. I`m afraid infomercials are about to take over,negative
544,sad.,I`m getting me & my family ready for Kaylee`s graduation! It`s gonna make me so sad.,negative
548,PAIN.,IN PAIN. my big toe got stomped on during the hokey cokeu. it`s throbbing. anyone have any suggestions to heal it?,negative
553,Stupid,"Stupid jobs, idk what to do.",negative
554,Shopped til i dropped....come bac sunshine i miss u,Shopped til i dropped....come bac sunshine i miss u,negative
561,hard,i have such a hard time talking to new people -  I am pretty sure I didn`t make a good impression.....,negative
562,terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,negative
565,"slowest train ever,","We are on the slowest train ever, it stops everywhere. Missed a quick train by a few minutes",negative
569,I don`t think I`ve ever been so tierd in my life.U,"I don`t think I`ve ever been so tierd in my life.Ugh,goodnight.So sleeping in tomorrow",negative
571,why doesnt he want me anymore,why doesnt he want me anymore,negative
572,bad hair day,bad hair day,negative
573,headache,.....headache,negative
574,sorry,sorry guys i didn`t sign in for a while  sorry every1,negative
579,huh?," I bet its cool down in SR, huh? It`s not here. I haven`t stopped sweating since noon when dad and I were packing",negative
585,Stupid,Stupid bipolar weather ruined my day off,negative
586,I didn`t want to tell you but I think it`s your body odour, I didn`t want to tell you but I think it`s your body odour,negative
588,bad, thats pretty bad quality and probably the worst pic u posted till date,negative
589,missed,I missed your calls,negative
590,Unfortunately, Unfortunately for us it looks like there are NO funny people on twitter  Should we move to FB or start our own...flitter,negative
594,"tease,"," did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though",negative
600,bad,working on diffusing that irritation but this traffic sure isn`t helping  mother F! it`s always real bad the days th@ i help plan stuff,negative
601,no answer back., I submitted my resume the same day and saw no answer back. Oh well...,negative
604,I`m kinda o sick n tired,Sooo.....I`m kinda o sick n tired of the bs that guys dish out  !!!!!!!!,negative
605,boo., boo... i was hoping for a fake alien story with a tinfoil covered beachball photo,negative
607,missed out,missed out on westcott micro apollo too,negative
619,ugh! These **** tonsils.,I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!,negative
623,lost,Counting the hours of lost sunshine until the Weekend,negative
624,though that isn`t going so well.,"planning! and trying to call the doctor, though that isn`t going so well. So mostly, planning",negative
630,im back to this z-index problem...again,im back to this z-index problem...again,negative
631,so bored at work...,is anyone out there??  so bored at work...,negative
632,hating,Am hating my life at the moment. There`s only so many NOs my delicate little mind can take,negative
636,sucks!!,first day of summer sucks!!!! its overcast and cold...  this isn`t summer!?!?!?!?,negative
640,sorry,sorry to tweet about BGT but poor wonderful crazy weird Greg  so not fair. the silly little girl is never going to cope. urgh. NOT FAIR.,negative
643,Not available in my area, Not available in my area  I would too,negative
646,cramps,Waiting for 5:00 & having cramps,negative
652,FML,1st presentation for senior boards? FML,negative
654,grouchy,Wide awake and grouchy as ****.,negative
655,worse.,"just when i thought things couldn`t get any worse. it just did. and it will get even worse tonight, i bet.  my life is a misery.",negative
663,my inbox is still empty, wheres the music mannnn!!?? my inbox is still empty,negative
664,I`m such a rebel!,What am I doing atm? http://twitpic.com/4jmeh Oh yeah. Apple Juice  I`m such a rebel!,negative
665,.i`m sorry," ...i`m sorry about you are still sick  u know most of them, AND i know that u will guess the 'pelzer present' ;-)",negative
672,lost,I lost my artistic abilities,negative
674,That was stone cold   Crazy.,  That was stone cold   Crazy....  ?,negative
678,.no one will help me,Crisis: forgot my fringe comb  I`m with men....no one will help me,negative
683,oh sorry! not getting all my replies  nothing against you.,"_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana",negative
686,omg i wanted to slap her.,_ nooo  no roo crying. but omg i wanted to slap her. she was singing fine then from out of nowhere- BOOHOOOOOOOOOOO,negative
692,mad,In the emergency room with my cousin. She`s got mad flu and can`t walk or breathe.  Why are hospitals always so cold?,negative
703,fail at life sometimes.,"Twitter, you just fail at life sometimes.  Oh well. http://tinyurl.com/qkxh7q",negative
715,"doesn`t that look fab,"," well doesn`t that look fab, even if I do say so myself!",negative
717,terrible,has a terrible headache.  I need relief!,negative
718,irrelevant.,"Two months ago, I became irrelevant.",negative
719,I`m too sick to go outside,Finally sunny days and I`m too sick to go outside and play.,negative
724,bad," I`m game, too bad your leaving HI!",negative
725,screwed,So screwed for sat 2 us,negative
726,just got laid off. Lots of people becoming unemployed,Just got an IM from another co-worker who just got laid off. Lots of people becoming unemployed,negative
731,i never knew a dentention was so hard,i never knew a dentention was so hard 2 get,negative
733,my nail broke  I haaaaaaaaate,my nail broke  I haaaaaaaaate,negative
734,IS disappointing, Dang... that IS disappointing,negative
737,. I hope Avalina isn`t a dud!,  Thanks! My mom`s seed is larger and already cracked (and planted). I hope Avalina isn`t a dud!,negative
742,hates,hates this weather,negative
744,Flap-a-taco was nice until the plebs came in.,Flap-a-taco was nice until the plebs came in.,negative
751,t sucks, i want to experience snow  we don`t have snow here and it sucks,negative
752,sore head,i have such a sore head,negative
759,stupid,"is bored, cant go on habbo stupid ban",negative
762,"I don`t think I am, my sisters refusn to get me a ticket now."," I don`t think I am, my sisters refusn to get me a ticket now.  what you doing next week?",negative
768,nooooo its raining..,nooooo its raining......had 2 leave the beach,negative
776,i am completely lost.,i have no idea what im doing and i am completely lost.,negative
780,silly, I think that may look a little silly -.- Also my camera is broken so no photo,negative
782,beasted,this day has beasted me.,negative
786,UNSALVAGEABLE,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,negative
790,ended up inventing my own.,I just spent 2 hours looking for a blog topic and ended up inventing my own.  grrrr    http://bit.ly/QRz6y,negative
791,seems to have disappeared out of my life, seems to have disappeared out of my life,negative
796,"****,","****, I never knew I could miss my phone so much for 4 hours till they told me I won`t have it back till then",negative
797,aww,_Lay aww well I just randomly woke up and now I can`t sleep! Too many things on my mind,negative
798,nothing fair,That`s it? It`s done already? This is one proof that there`s nothing fair in this world.   http://bit.ly/10UEMq,negative
803,i`m going to fail this final.,Ugh! I wanna play dnd but i know i`m going to fail this final. I NEED to study,negative
805,how sad! are you saying that I`m fat?  *tears*, how sad! are you saying that I`m fat?  *tears*,negative
807,can`t find it anywhere!,I`m trying to find the driver for my Microsoft Lifecam VX-3000 Webcam and can`t find it anywhere! anyone have any links?,negative
808,i have a major headache,Finally get to lay down for a bit i have a major headache,negative
811,"Stupid me,","Stupid me, accidentally gave my honey the Atomic flavored buffalo wings and now his stomach feels just awful..... Im sorry baby",negative
816,sad.,i got over the crush issue but now tomorrow my friend is going to india for the whole summer  im back to being sad.,negative
827,expensive.,Going to the courthouse to pay for tags & taxes on all our cars...this is gonna be expensive.,negative
828,So tired &,So tired & ready for bed!! Really in the mood for salt & pepper chicken wings & noodles but have no money on me for a Chinese!,negative
838,Mad tired. But it`s the hols! I miss chomp chomp terribly!,Mad tired. But it`s the hols! I miss chomp chomp terribly!,negative
843,Missing,watching 'That Thing You Do' on Comcast. Missing my boo like crrrrrazy!,negative
844,It just had to rain on me,It just had to rain on me almost a perfect day now my clothes are wet,negative
852,i`m a victim," lol, i`ve done that one b4  i`m a victim 2 that! lol",negative
853,i would slip and fall..,i would slip and fall... on the dirty school bathroom floor. fml.,negative
856,a stop, ugggh idk how to do that  but i only wanna stop getting texts from twitterr  -ilsE*,negative
859,but I feel sorry for Marcus though.,"Just came back from watching Terminator Salvation @ Cathay. It`s so-so only, not so much action  but I feel sorry for Marcus though.",negative
862,can`t believe,I can`t believe I thought I had a morning shift today and told Alex that I could take him to the airport.  His flight is during my shift!,negative
863,sorry ba,"My poor heather, she didnt make the cheerleading squad. Im sorry babygirl. Maybe next year",negative
868,reupload the **** thing again,I have to reupload the **** thing again,negative
873,rough,"_beery Yeah little rough this morning but more tonight, and tomorrow night if all goes as planned. Caloric intake off the charts",negative
880,Im too late... Hes gone,"Omg, my mom just called... Im too late... Hes gone",negative
881,lost my internet signal,Just lost my internet signal  how will life go on,negative
882,sorry, sorry we didn`t get a chance to chat at #screengrab09. Caught glimpse of you across room but was dragged home prematurely,negative
884,blood everywhere!!!,i just bit my tongue.  blood everywhere!!!,negative
890,hurt my arm., don`t know it really hurt my arm. guess you have to booze me.. or just ask  or  if you don`t believe me!,negative
891,****,Not going to the dance recital and now i feel like a piece of **** cuz it cost so much money,negative
892,tiiiiiiired! Going to bed!,"tiiiiiiired! Going to bed! Drinking leads to making out with boys, who you later forget their names.... Don`t drink kids. Goodnight",negative
895,keeps getting such delayed responses. why is my internet so messed up?!,; keeps getting such delayed responses. why is my internet so messed up?!,negative
897,sad.," I know, that is so sad.  I",negative
905,"Sadly, that`s not too often"," Every time I have Friday off. Sadly, that`s not too often",negative
907,The sun is not cool,The sun is not cool,negative
908,...  that was meeeaaannn.,...  that was meeeaaannn. people make mistakes ok?! lol,negative
913,so sadly,has broken off the fb wedding so sadly no longer has an excuse to get @ hauntingxealot to Goulburn,negative
925,my bad,"What did I learn today? Never post anything you`ve sold on ebay using royal mail. They lose it, I refund: compo`s nowhere near - my bad",negative
926,forgot,"_ Oh god, yeah! I forgot about that",negative
930,poorly,I`m poorly and can`t sleep,negative
933,I won`t have a chance later.,Buried under more web changes. Going to make lunch now... I won`t have a chance later. Too much to do.,negative
939,SHUT YOUR FACE!, SHUT YOUR FACE! Why are you so mean to me? Pedro is supposed to be the mean one,negative
945,I`m really getting sick ugh,"I`m really getting sick ugh **** nursing homes! Laying in bed, might go run later, watch some more movies with Austin. Sara & Sami left",negative
946,stalkerishly," I saw you stalkerishly from the elevator, but Brookie was eating her moracca (?) So we had to go.",negative
950,s disappointing, Well thatï¿½s disappointing to hear.,negative
962,****,facebook is being a ****,negative
963,mad the rain got me..,mad the rain got me...now i cant go see jaiden   *|)|/-\|\|/-\*,negative
966,i dont feel very good,i dont feel very good,negative
970,excuse,"Visiting the grandparents in Manhattan, and dropping off my sister for the week! I wish I had an excuse to be so tired today..",negative
974,I`m afraid.,This weekend is going to be packed full of work for school  No life this summer I`m afraid.,negative
975,I`m not having the best day,Please read my blog http://amandallynn.blogspot.com/ I`m not having the best day,negative
985,just couldn`t remember!!," You did know, you just couldn`t remember!!",negative
991,Work in that heat is horrible !,Work in that heat is horrible !,negative
997,isn`t easy to find, Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere,negative
999,".just not lucky, never have been."," I`ve been unlocked for decades now...just not lucky, never have been.  Gottta make my own luck and that involves $$$$$",negative
1000,Taking care of yucky stuff.,Taking care of yucky stuff.,negative
1001,lame,homework on a friday night...lame,negative
1003,cry,industrial tommorow! oh yeah & I get to go see a bunch of old people go away forever & I will probably cry all over the place.,negative
1008,"I`m tired,","Laughing for no reason...maybe its because its 2:27 and I`m tired, haha. Maybe i should go to bed  Night!",negative
1010,not good.,_Greta That is so not good.  Your box is worth way more than that!,negative
1015,very bad., very bad.,negative
1021,I scared,I must have just missed   & I guess I scared  & _TX off...  Sorry,negative
1031,bad,I feel really bad for female racoons with abusive racoon husbands... when you always have black eyes- no one can help,negative
1034,"Its prob cuz I don`t really like sleeping in late, even if I tried.","Its prob cuz I don`t really like sleeping in late, even if I tried.",negative
1036,t I`m still stick.," Awww. Don`t mean to sound like an overgrown age 37 baby, but I`m still stick. Not as bad as yesterday, but still bad.",negative
1042,lost,"i`m watching missing pieces, just coz the theme song is lost without you",negative
1044,****, **** i hope theyr all wrong we need him,negative
1046,My throat is killing me,My throat is killing me,negative
1054,bloody,"_nexus he has to have a new suitcase, but he is just so bloody indecicive, everytime he wants to buy something it takes HOURS",negative
1057,o itchy, oh dear.. u serious? so how does one prevent bites??  I`m so itchy its distracting while editing.. *sigh*,negative
1065,waste,DotA is an addiction...i waste 6-7 hours playing dota,negative
1067,'accidentally', How long before the Frisbee Golfer 'accidentally' catches one in the back of the head from his friend,negative
1069,sad me,hi guys just doing da usael notmuch really! <3 sad me,negative
1071,"SUCKS,","Not smoking sucks sucks **** SUCKS, I want a cig",negative
1082,has heart burn,has heart burn,negative
1088,afraid," dude, that`s eff`ed up. LOL @ chris browning you. We live so far apart and Im afraid to fly",negative
1090,hard,Washing The Dishes :S iTs So hard 2 be Me,negative
1096,.I`ve become poor again, Depends on what they want for it....I`ve become poor again,negative
1100,No internet there.,Almost to grandmas now. No internet there. I will never catch up on twitter.,negative
1103,loosing,okie gonna tweet more because i am loosing you guys or girls,negative
1108,tired?,why am i so tired?,negative
1110,painful,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,negative
1118,miss yall, wats gooood !! miss yall already,negative
1121,i`m all alone,its my burfday and i`m all alone,negative
1131,sad!,"Why are young people attracted to trouble? this makes me sad!  ,<3 kMv",negative
1132,And i freakin miss anthony  ugh today kinda sucks.,Omg i`m going to robinson with tyler wfm. And i freakin miss anthony  ugh today kinda sucks. Lex<3,negative
1134,s super sad, That is super sad   How is Bart etc holding up?,negative
1135,breaks my heart.,_ERON Effy breaks my heart.,negative
1138,terrible,and this terrible cartoon that`s supposed to be mexican.,negative
1145,problem, - Sorry only just seen this - how strange it seems only to happen from my iPhone - perhaps it is a problem with Twitterific,negative
1150,E EXPENSIVE,  BUT THEY ARE EXPENSIVE.,negative
1155,so sorry, so sorry about that  I have the same issues...LOL. My weekend started about an hour ago!!!,negative
1159,is sad th,is sad that she is not seeing Basshunter at Metroplex this weekend,negative
1161,Poor," *reads phone book* Hugh Clancy, Hugh Claments...Nope, no Hugh Clap.  Poor Holly, though she`ll grab pity votes like a shark.",negative
1163,o can`t work that one out  pain in the **** them spammers, o can`t work that one out  pain in the **** them spammers,negative
1167,**** it. Totally gutted,**** it. Totally gutted I decided not to go out tonight. Roni Size is DJing,negative
1168,I don`t think I like,  I don`t think I like this Roy Williams who dissects frogs while still alive >  You look like Chachi from Happy Days,negative
1172,tan, I am definitely ready... actually ahead of you... I already have a sun tan and I was out at the beach yesterday.,negative
1176,The chances of us falling in love are getting fewer and fewer.,Zach G. gets an extensive profile in this weekend`s NY Times Magazine. The chances of us falling in love are getting fewer and fewer.,negative
1179,fusterated,ahhh fusterated,negative
1182,afraid, I am using iMovie 08 and it`s still not bad. I am afraid to hear what is wrong with 09,negative
1187,bad,"outta the shower, too bad justin couldn`t spend the night.  haha",negative
1188,jealous, jealous  it looks like schindler`s list in toronto,negative
